TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO
1000,12:00:00,1,F,LAUNCH_PAD,0.0,28.0,101.3,4.17,0.3,0.4,-0.79,0.5,-0.66,-0.33,10.98,12:00:00,16.3,37.4219,-122.084,9,
1000,12:00:01,2,F,LAUNCH_PAD,0.0,28.0,101.3,4.18,0.29,-1.33,0.92,0.41,-0.42,0.2,9.34,12:00:01,15.8,37.4219,-122.084,8,
1000,12:00:02,3,F,LAUNCH_PAD,0.0,27.9,101.3,4.18,0.31,1.0,0.45,-0.87,-0.27,0.3,9.92,12:00:02,13.1,37.4219,-122.084,8,
1000,12:00:03,4,F,LAUNCH_PAD,0.0,28.2,101.3,4.19,0.29,-0.63,1.47,-0.73,-0.2,0.1,9.32,12:00:03,11.5,37.4219,-122.084,8,CXON
1000,12:00:04,5,F,LAUNCH_PAD,0.0,28.0,101.3,4.16,0.3,1.0,0.33,-0.08,-0.33,0.44,9.38,12:00:04,14.6,37.4219,-122.084,8,
1000,12:00:05,6,F,LAUNCH_PAD,0.0,27.9,101.3,4.18,0.31,0.51,0.2,0.25,-0.18,0.54,9.59,12:00:05,11.4,37.4219,-122.084,10,
1000,12:00:06,7,F,LAUNCH_PAD,0.0,27.9,101.3,4.18,0.3,-0.55,-0.62,0.76,0.12,-0.18,9.32,12:00:06,10.9,37.4219,-122.084,9,
1000,12:00:07,8,F,LAUNCH_PAD,0.0,28.3,101.3,4.18,0.3,0.52,1.43,-0.66,-0.22,0.18,10.19,12:00:07,19.0,37.4219,-122.084,9,
1000,12:00:08,9,F,LAUNCH_PAD,0.0,28.4,101.3,4.16,0.3,0.45,-0.46,-0.33,0.3,-0.31,10.2,12:00:08,15.2,37.4219,-122.084,9,
1000,12:00:09,10,F,LAUNCH_PAD,0.0,28.2,101.3,4.17,0.32,-0.17,1.09,-0.74,-0.17,0.38,10.42,12:00:09,14.1,37.4219,-122.084,9,
1000,12:00:10,11,F,LAUNCH_PAD,0.0,28.1,101.4,4.18,0.32,1.07,-0.51,1.41,0.36,0.34,9.66,12:00:10,12.8,37.4219,-122.084,8,STGPS
1000,12:00:11,12,F,LAUNCH_PAD,0.0,28.4,101.4,4.19,0.3,-1.56,-1.38,-0.02,-0.06,0.05,9.58,12:00:11,13.7,37.4219,-122.084,8,
1000,12:00:12,13,F,LAUNCH_PAD,0.0,27.7,101.3,4.18,0.31,-1.43,0.71,0.44,0.11,-0.13,8.95,12:00:12,16.1,37.4219,-122.084,10,
1000,12:00:13,14,F,LAUNCH_PAD,0.0,27.9,101.3,4.17,0.31,0.27,-0.16,0.22,0.52,-0.18,10.26,12:00:13,20.2,37.4219,-122.084,10,
1000,12:00:14,15,F,LAUNCH_PAD,0.0,28.2,101.3,4.2,0.32,-0.96,-2.0,1.06,0.14,0.33,10.19,12:00:14,12.8,37.4219,-122.084,9,
1000,12:00:15,16,F,LAUNCH_PAD,0.0,28.0,101.4,4.17,0.32,0.09,-0.79,0.01,-0.1,0.01,9.68,12:00:15,12.9,37.4219,-122.084,9,
1000,12:00:16,17,F,LAUNCH_PAD,0.0,28.0,101.3,4.18,0.32,0.88,2.17,-1.01,-0.4,0.12,10.05,12:00:16,15.3,37.4219,-122.084,10,
1000,12:00:17,18,F,LAUNCH_PAD,0.0,27.9,101.3,4.18,0.31,0.7,-0.36,1.34,0.15,-0.56,9.85,12:00:17,12.7,37.4218,-122.084,9,
1000,12:00:18,19,F,LAUNCH_PAD,0.0,28.2,101.3,4.17,0.31,-0.34,-0.84,0.88,0.07,0.09,9.8,12:00:18,6.1,37.4218,-122.084,10,CAL
1000,12:00:19,20,F,LAUNCH_PAD,0.0,27.8,101.3,4.18,0.31,1.34,-0.15,0.2,-0.49,0.17,9.86,12:00:19,16.1,37.4218,-122.084,10,
1000,12:00:20,21,F,ASCENT,0.3,27.9,101.3,4.18,0.32,1.03,0.35,-0.49,0.31,-0.15,20.27,12:00:20,14.8,37.4218,-122.084,9,
1000,12:00:21,22,F,ASCENT,0.1,28.0,101.3,4.18,0.31,-2.13,-0.65,-0.94,-0.04,-0.3,19.75,12:00:21,18.6,37.4219,-122.084,9,
1000,12:00:22,23,F,ASCENT,0.3,28.1,101.3,4.17,0.31,-0.29,2.74,-1.41,-0.16,-0.4,17.66,12:00:22,12.8,37.4219,-122.084,11,
1000,12:00:23,24,F,ASCENT,1.6,28.2,101.3,4.17,0.31,0.36,-0.69,0.77,0.17,0.43,18.14,12:00:23,14.3,37.4219,-122.084,9,
1000,12:00:24,25,F,ASCENT,0.6,28.1,101.3,4.18,0.31,-1.92,-1.31,0.6,-0.0,0.14,18.24,12:00:24,13.6,37.4218,-122.084,9,
1000,12:00:25,26,F,ASCENT,2.0,27.9,101.3,4.16,0.32,-3.31,-0.89,0.59,0.56,0.42,17.35,12:00:25,16.3,37.4218,-122.084,7,
1000,12:00:26,27,F,ASCENT,4.6,28.4,101.3,4.18,0.31,-1.8,0.17,-1.11,-0.14,0.45,16.38,12:00:26,19.9,37.4219,-122.084,8,
1000,12:00:27,28,F,ASCENT,5.9,28.3,101.3,4.16,0.31,0.59,1.13,0.41,-0.3,-0.03,14.68,12:00:27,25.2,37.4219,-122.084,10,
1000,12:00:28,29,F,ASCENT,6.4,27.9,101.3,4.18,0.31,0.29,2.21,0.05,-0.21,-0.12,15.42,12:00:28,20.1,37.4219,-122.084,11,
1000,12:00:29,30,F,ASCENT,7.4,28.1,101.2,4.16,0.33,-4.35,-0.42,-0.85,-0.06,0.39,14.71,12:00:29,11.0,37.4219,-122.084,10,
1000,12:00:30,31,F,ASCENT,9.4,28.1,101.2,4.19,0.33,0.44,-4.45,1.45,0.03,0.23,12.67,12:00:30,22.8,37.4219,-122.084,11,
1000,12:00:31,32,F,ASCENT,11.9,27.8,101.2,4.15,0.33,4.54,-0.83,-0.47,0.51,-0.53,14.48,12:00:31,30.8,37.4219,-122.084,10,
1000,12:00:32,33,F,ASCENT,15.0,28.0,101.1,4.17,0.3,-4.18,1.13,2.31,-0.05,0.37,14.28,12:00:32,30.8,37.4219,-122.084,10,
