TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,AUTO_GYRO_ROTATION_RATE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO
1000,00:00:00,0,S,LAUNCH_PAD,0.0,27.0,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:00,5.0,1.3000,103.8000,6,CXON
1000,00:00:01,2,S,LAUNCH_PAD,0.0,26.9,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:01,5.0,1.3000,103.8000,6,CXON
1000,00:00:02,4,S,LAUNCH_PAD,0.0,26.9,101.2,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:02,5.0,1.3000,103.8000,6,CXON
1000,00:00:03,6,S,LAUNCH_PAD,0.0,27.1,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:03,5.0,1.3000,103.8000,6,CXON
1000,00:00:04,8,S,LAUNCH_PAD,0.0,27.0,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:04,5.0,1.3001,103.8001,6,CXON
1000,00:00:05,10,S,ASCENT,20.0,27.0,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:05,5.0,1.3001,103.8001,6,CXON
1000,00:00:06,12,S,ASCENT,40.0,27.0,101.2,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:06,5.0,1.3001,103.8001,6,CXON
1000,00:00:07,14,S,ASCENT,60.0,26.9,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:07,5.0,1.3001,103.8001,6,CXON
1000,00:00:08,16,S,ASCENT,80.0,27.1,101.2,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:08,5.0,1.3001,103.8001,6,CXON
1000,00:00:09,18,S,ASCENT,100.0,26.8,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:09,5.0,1.3001,103.8001,6,CXON
